stock,invested_amount,days,percentage_change,risk
4,6075.62,139,-0.03927,3
2,7786.91,100,0.04438,3
5,5824.46,44,-0.37023,5
15,5275.45,106,0.17263,5
8,6578.67,102,-0.322,5
14,9643.26,62,0.00475,1
19,4582.83,59,-0.0457,3
19,4606.34,11,-0.05598,3
9,7870.16,32,0.0532,3
9,6542.64,78,0.15092,5
15,2836.82,112,0.02265,2
7,8325.47,84,-0.07233,4
12,1592.55,80,0.48715,5
6,2627.65,148,0.71184,5
16,6136.78,84,0.10953,4
3,4964.01,142,-0.07452,4
19,8391.18,118,0.11247,4
19,9663.27,90,-0.34181,5
8,9133.74,75,-0.22127,5
10,5777.02,104,0.22077,5
19,2308.4,7,-0.01312,2
2,970.25,29,0.03832,3
19,2701.63,60,0.20889,5
17,3752.8,78,0.18247,5
7,9713.86,62,0.28717,5
1,7641.56,117,0.0771,4
18,1140.26,120,-0.03756,3
17,793.55,173,0.22173,5
12,2566.62,161,0.61588,5
14,6474.37,78,0.26183,5
3,668.85,83,0.26663,5
14,9227.29,174,0.12484,4
19,9451.56,144,-0.01367,2
20,3069.15,92,-0.1032,4
11,6675.28,153,0.08946,4
20,5057.88,138,0.20572,5
16,9081.8,177,0.40372,5
18,715.48,99,0.06356,3
10,5945.66,37,0.2992,5
3,879.77,87,-0.31384,5
19,2810.05,148,0.01325,2
15,4207.03,52,0.04548,3
9,7544.11,38,0.10917,4
7,2579.05,113,0.39481,5
10,716.39,155,0.19539,5
6,2988.07,79,0.23909,5
7,4820.42,13,-0.1172,4
5,8060.95,134,0.26895,5
2,1874.68,23,0.07145,4
18,1577.54,88,0.13925,4
12,6825.18,131,0.01649,2
13,3525.11,46,0.07795,4
1,9324.87,5,-0.20185,5
19,8723.0,64,-0.18451,5
1,7053.88,50,0.06368,3
4,529.34,123,0.08476,4
18,3035.37,45,0.11028,4
17,4409.75,169,0.23871,5
5,6509.99,70,0.7175,5
19,5756.91,74,0.02802,2
10,7810.1,64,0.32804,5
2,3713.92,43,0.17669,5
18,9532.38,38,-0.0193,2
11,535.3,14,-0.17097,5
10,4944.11,117,-0.02271,2
11,5899.56,61,0.03589,3
12,6106.54,143,0.74988,5
7,3775.33,90,0.12949,4
1,7066.4,129,0.21004,5
18,4559.53,101,0.075,4
4,2689.49,129,0.02431,2
6,7050.13,124,0.75151,5
10,7335.58,115,-0.60037,5
2,9372.4,133,-0.07502,4
16,2173.5,155,0.24437,5
19,2988.39,46,0.1563,5
11,3650.64,167,0.68066,5
20,5980.95,61,0.07411,4
13,9992.64,29,0.06837,3
16,1086.3,11,-0.05944,3
2,2809.42,111,0.25844,5
11,2395.64,53,0.19201,5
13,5209.67,103,-0.03893,3
18,3450.57,9,-0.02025,2
4,9834.99,169,0.25965,5
11,1989.23,162,0.68824,5
14,7859.5,180,-0.23868,5
13,8232.16,61,-0.20714,5
4,2831.02,47,-0.00188,1
4,1774.86,56,0.34507,5
5,3806.17,16,0.08877,4
8,6089.21,116,0.30541,5
8,7856.87,6,0.05369,3
9,1276.19,119,0.20082,5
3,5803.11,70,0.22225,5
3,1519.38,90,0.29841,5
10,4959.18,15,0.10391,4
12,6499.62,143,0.4732,5
1,5312.09,17,0.07418,4
10,742.89,154,2.05517,5
4,5092.54,81,0.27092,5
13,7717.11,74,0.49165,5
5,7701.05,169,1.28816,5
11,1364.52,98,0.39127,5
14,7312.06,9,0.08065,4
10,5823.4,147,-0.19594,5
10,2189.34,118,0.661,5
2,736.11,90,0.11058,4
11,7941.01,169,0.10979,4
4,4979.83,83,0.21219,5
14,8312.61,80,0.01118,2
3,8881.59,167,0.06981,3
9,9023.08,20,0.06213,3
1,8102.05,110,-0.58786,5
16,7096.18,29,0.06937,3
10,2680.87,156,0.24412,5
18,982.9,57,0.07364,4
20,5030.08,116,0.12314,4
14,9620.51,134,0.43212,5
20,3005.03,104,-0.05366,3
11,2609.65,85,0.06453,3
17,1863.6,21,0.09717,4
13,7228.55,64,0.0099,1
13,6743.49,109,0.24767,5
19,5624.96,105,0.20645,5
15,7785.54,149,0.12097,4
3,1993.42,133,0.07142,4
11,2415.66,119,0.21794,5
18,2799.94,174,0.0703,4
12,8211.78,53,0.05007,3
13,2063.78,162,-0.75257,5
5,9821.33,122,1.02864,5
10,4176.82,49,0.26323,5
19,2359.61,51,0.27364,5
6,9671.78,72,0.4179,5
3,3081.19,88,-0.03586,3
5,2207.93,21,-0.09937,4
5,5384.71,77,-1.16545,5
20,1617.89,173,0.1941,5
16,6408.58,104,0.18725,5
18,2191.29,125,0.00835,1
15,4996.49,178,0.14803,4
18,7799.55,15,-0.02729,2
14,6675.23,57,0.09554,4
1,6900.63,85,-0.24237,5
13,4888.74,9,-0.05387,3
6,2816.95,88,0.39417,5
12,6655.81,154,-0.03395,3
1,2450.28,137,0.11599,4
5,8306.54,30,0.76036,5
8,9230.65,30,0.03777,3
19,8370.09,134,0.06841,3
1,4837.32,81,0.41334,5
4,9027.05,70,0.20359,5
13,8166.8,159,0.38003,5
12,6506.89,164,0.35894,5
13,3973.33,134,0.5657,5
5,3777.94,89,0.79623,5
20,2486.58,74,0.00114,1
1,7235.39,29,-0.20265,5
12,1469.26,149,-0.2899,5
15,1000.01,30,-0.0171,2
13,4779.66,41,0.14329,4
19,9189.63,123,0.58064,5
18,9698.01,29,0.10128,4
12,1232.15,88,0.31817,5
13,5270.17,5,-0.06797,3
7,8623.88,176,0.06531,3
9,1481.37,54,0.03837,3
10,9689.96,31,-0.3251,5
11,1350.33,30,0.1675,5
16,3704.01,11,-0.01915,2
8,4579.8,64,0.1922,5
20,8405.07,171,-0.18331,5
1,756.52,133,0.02266,2
15,9158.34,33,-0.02216,2
7,4425.31,103,-0.43159,5
13,5010.59,19,0.10342,4
8,4922.56,171,0.21089,5
3,4866.43,62,0.13171,4
10,1312.94,93,-0.04706,3
15,1050.42,63,0.04261,3
20,8424.11,137,0.71526,5
17,9204.49,37,-0.01963,2
15,7385.11,96,0.18463,5
18,9063.12,143,0.15127,5
3,8043.7,172,0.25919,5
10,3997.11,161,-0.34685,5
11,3154.43,172,0.14139,4
14,3175.91,55,-0.04927,3
15,7378.46,123,0.27328,5
10,7417.85,168,0.70346,5
3,6500.73,174,-0.25242,5
16,9822.49,162,0.02497,2
8,3115.17,39,0.12664,4
9,6380.62,75,-0.17949,5
9,3957.66,95,0.08966,4
13,4804.92,96,0.09193,4
1,4922.77,111,0.3694,5
14,1773.3,84,-0.0392,3
10,1823.16,82,0.32961,5
8,5286.91,98,-0.07877,4
2,2648.15,143,0.45781,5
16,5247.12,137,0.11116,4
11,5933.23,154,-0.03424,3
12,8890.5,132,0.18528,5
12,4007.54,180,0.8611,5
6,2158.06,57,-0.16515,5
13,3850.27,107,-0.36414,5
14,6912.2,134,0.36159,5
10,6161.48,23,0.3862,5
9,4190.63,165,0.35778,5
14,8537.86,96,0.11948,4
2,9663.67,61,0.21966,5
9,2058.93,127,-0.01151,2
17,7685.75,130,0.01206,2
15,6282.48,166,0.27019,5
9,4215.65,113,0.02771,2
18,6196.68,144,0.06876,3
18,2744.11,28,-0.04329,3
1,836.96,106,0.71341,5
11,6758.68,36,0.18256,5
11,5188.89,48,0.41038,5
18,3043.75,75,-0.02766,2
11,5308.91,112,-0.20014,5
14,1881.16,96,0.19296,5
7,826.6,6,-0.12563,4
20,2236.25,135,0.12565,4
9,5673.94,179,0.45598,5
12,2632.09,125,0.06639,3
20,5541.95,139,0.26393,5
12,716.83,27,0.31087,5
17,1032.71,27,-0.01776,2
20,6748.57,104,0.22991,5
6,6539.16,89,0.44215,5
8,5710.77,170,0.28972,5
4,9319.0,69,-0.10477,4
13,3199.96,16,0.49969,5
8,7621.56,54,0.14271,4
4,1767.11,25,-0.01355,2
6,8774.69,84,0.00415,1
2,4837.29,127,0.21605,5
1,3378.89,76,-0.35497,5
6,9278.36,59,0.23504,5
10,2713.1,151,-0.06116,3
12,3884.04,33,-0.12461,4
2,2080.03,125,0.40414,5
20,3330.43,99,0.24264,5
12,4863.87,142,0.24057,5
15,5970.97,17,0.01106,2
1,9909.19,10,0.01788,2
2,4465.65,37,-0.03996,3
2,6293.88,105,-0.00688,1
9,5901.56,9,-0.04625,3
19,852.39,111,0.03592,3
4,7983.34,126,0.31352,5
7,7973.89,139,1.0716,5
11,1255.05,77,0.18312,5
15,9317.08,40,0.09849,4
16,1432.5,103,0.06745,3
12,1942.79,59,-0.03583,3
1,5198.19,87,0.7468,5
14,9554.68,134,0.06694,3
9,6665.67,43,0.08006,4
6,9735.11,167,0.53712,5
16,987.99,149,0.22472,5
14,8329.59,56,0.37144,5
12,3050.16,30,-0.3739,5
14,5152.6,90,0.23154,5
13,5334.93,30,-0.18481,5
20,1956.7,154,0.35953,5
17,6947.12,84,0.21208,5
1,7283.98,83,-0.19939,5
13,7941.25,137,-0.55452,5
2,5024.36,105,0.17566,5
4,8121.33,26,0.03534,3
13,8115.41,146,0.92557,5
1,7444.97,5,-0.0711,4
20,727.24,139,-0.19783,5
14,8099.22,177,0.20272,5
20,4509.77,102,-0.09776,4
8,5106.42,127,0.26261,5
18,9464.28,79,0.0428,3
16,7445.17,91,0.04241,3
11,7688.13,67,0.45425,5
10,4092.98,136,-0.81094,5
15,2780.57,113,0.22026,5
1,3538.81,99,0.13491,4
1,2552.85,29,-0.13044,4
4,3244.15,151,0.347,5
18,4707.41,23,-0.01532,2
6,7489.6,70,-0.36623,5
18,7336.55,105,0.16193,5
15,6590.32,85,0.12372,4
12,9553.63,51,0.04048,3
15,2846.9,35,-0.05717,3
9,2957.16,172,0.0266,2
14,2429.9,142,0.07741,4
1,2227.21,62,-0.1735,5
19,4529.09,5,-0.02551,2
9,8242.16,31,0.04859,3
5,1172.16,20,-0.58829,5
2,2767.89,141,0.05855,3
3,7179.69,162,-0.09263,4
18,1788.49,55,0.10399,4
4,5717.24,178,0.17004,5
10,2000.66,18,-0.32992,5
1,8203.48,80,0.46584,5
17,3195.5,177,0.30475,5
18,3235.51,136,0.22626,5
19,7302.55,18,0.05228,3
17,6394.27,128,0.12028,4
3,7876.64,129,0.37332,5
7,4767.98,162,0.28266,5
15,9011.9,120,0.17705,5
9,4454.55,172,0.11641,4
15,3216.18,13,0.01662,2
18,9795.35,70,-0.0213,2
3,6006.26,148,-0.64408,5
9,4432.04,78,0.14797,4
13,576.71,14,0.10184,4
17,3356.83,113,-0.11475,4
3,4204.41,59,0.11303,4
17,4680.86,87,0.11049,4
20,6429.28,25,0.19299,5
12,3840.15,114,0.04821,3
17,6412.87,152,0.0076,1
3,9262.11,57,-0.02249,2
13,3040.49,141,-0.13615,4
15,4636.15,45,-0.09656,4
7,2998.14,62,-0.16187,5
16,7690.61,19,0.02383,2
12,4943.62,79,-0.06259,3
7,9909.33,142,-1.19362,5
4,6099.11,38,0.00246,1
7,3555.63,80,-0.06612,3
12,6320.3,108,0.52465,5
3,769.65,85,0.41005,5
4,3566.85,168,0.02379,2
5,2559.74,147,0.57349,5
10,5248.47,147,0.75215,5
2,1799.14,31,-0.0337,3
12,1670.32,171,0.28997,5
19,7507.23,159,0.12824,4
1,9481.15,50,-0.18076,5
8,9603.48,78,0.12865,4
10,6667.35,147,0.25487,5
6,2331.37,92,0.72195,5
18,1723.64,39,0.12435,4
10,8573.39,81,-0.74766,5
13,6395.21,96,0.3002,5
10,9914.6,88,0.41512,5
9,3680.62,12,0.02036,2
12,4047.34,112,-0.03974,3
7,7774.48,179,-0.38838,5
5,8955.55,41,-0.23841,5
18,8468.22,111,0.16129,5
17,3634.94,21,-0.00032,1
9,3020.61,79,0.15159,5
19,6799.94,116,0.20549,5
18,5619.94,144,0.0594,3
18,1498.92,90,0.04605,3
20,4749.49,7,-0.01231,2
16,1398.3,65,0.01821,2
9,4395.57,25,0.06034,3
18,6211.51,16,0.01716,2
14,1996.08,168,0.11868,4
11,5845.11,82,-0.05709,3
19,6001.43,7,-0.01814,2
17,5625.86,132,0.24232,5
7,4609.38,95,0.1577,5
10,9777.02,175,-0.06581,3
1,523.12,133,0.39049,5
4,6615.62,168,0.21582,5
15,5587.56,138,0.18693,5
5,4488.36,125,0.40376,5
10,7684.13,35,-0.26791,5
19,1578.16,119,0.35775,5
19,9749.98,118,0.37554,5
3,9647.24,33,0.16066,5
2,7176.3,150,0.21256,5
7,920.12,47,0.47499,5
3,1602.3,140,0.53061,5
7,3966.46,68,-0.50882,5
19,1140.8,141,-0.21489,5
16,5105.69,29,0.08834,4
19,5003.98,70,0.29756,5
3,9865.63,178,0.19388,5
8,3188.28,114,0.07284,4
13,9462.56,90,0.441,5
15,2109.99,7,-0.02399,2
6,9132.06,81,0.39534,5
10,2760.35,41,-0.32046,5
13,9323.74,152,0.14362,4
19,7071.28,54,0.03279,3
10,5231.77,67,0.08144,4
3,7466.98,22,0.00711,1
1,8590.65,150,-0.14456,4
6,3279.72,171,-0.16929,5
4,552.29,163,0.43061,5
8,8208.57,29,0.02018,2
9,913.41,14,0.07098,4
7,4596.37,133,-0.42401,5
14,1064.02,158,0.10425,4
20,4476.02,33,-0.07627,4
11,5179.83,8,-0.14807,4
4,9522.78,94,0.21341,5
15,7042.72,94,0.19214,5
1,3588.64,69,-0.18965,5
17,5369.9,130,0.11062,4
17,7731.74,141,0.19167,5
20,2825.84,90,-0.04527,3
12,9492.46,148,0.37578,5
10,1052.37,105,1.01025,5
2,7984.08,124,0.16695,5
3,5702.22,91,0.26426,5
11,7457.46,52,0.09672,4
2,2991.61,117,0.19502,5
9,3168.26,7,-0.11871,4
15,4486.32,136,0.01406,2
18,8736.86,158,0.14122,4
17,6398.86,179,0.60722,5
20,3535.78,150,0.22268,5
13,3693.52,107,0.13117,4
15,6433.96,174,0.00205,1
10,1333.44,170,-0.91632,5
17,9229.0,81,0.00583,1
14,9343.14,33,0.09358,4
6,2083.26,119,-0.21192,5
20,6278.99,144,0.15511,5
18,6050.54,96,0.28349,5
13,4236.52,44,-0.02475,2
16,6447.86,65,0.09651,4
9,2525.72,172,-0.21968,5
16,2666.71,53,0.0791,4
5,6616.14,118,0.04869,3
18,4392.24,175,0.01114,2
7,1037.27,154,0.89558,5
8,6195.98,40,0.23936,5
15,2971.91,171,0.18426,5
13,5808.25,94,-0.10959,4
6,1673.27,132,-0.65427,5
4,885.36,73,0.14218,4
6,4344.11,125,0.34853,5
17,2814.69,93,0.00475,1
8,5797.51,139,0.01105,2
14,4801.51,52,0.18703,5
1,6376.07,153,0.21852,5
11,8810.08,14,-0.20665,5
11,1129.22,126,0.29818,5
8,3021.21,54,-0.02643,2
3,1549.12,51,0.15212,5
2,8805.55,106,-0.19224,5
11,8899.63,134,0.12628,4
7,4751.78,56,-0.24811,5
19,2676.47,67,0.34295,5
1,2250.83,160,-0.22274,5
16,1235.4,154,0.37743,5
8,6426.29,25,-0.0561,3
9,5059.0,97,0.46368,5
10,3740.4,166,-0.48863,5
1,9367.92,38,-0.18087,5
1,6892.1,160,0.12593,4
20,7119.37,19,-0.02705,2
14,9785.37,83,0.03324,3
19,5305.45,94,0.30899,5
5,2217.33,52,-0.20487,5
16,8453.68,61,-0.06922,3
16,1497.76,161,0.17677,5
5,758.35,94,0.88411,5
11,5396.23,15,-0.22196,5
16,6791.5,20,0.03567,3
5,7121.67,92,0.0286,2
12,3683.86,67,0.04259,3
8,1645.82,159,0.5777,5
7,6511.79,139,0.31399,5
